name,imo,date_designated,flag_at_designation,flag_after,new_name,days_to_hop,first_hop_date,registry_confirmed
PROSPERITY,9322956,24/02/2025,Barbados,RUS,PROSPERITY,95,2025-05-30,False
DESTAN,9388766,24/02/2025,Panama,STP,DESTAN,95,2025-05-30,False
RU YI,9345623,24/02/2025,Panama,PLW,ELYTE,96,2025-05-31,False
DAPHNE I,9251456,09/05/2025,Panama,BEN,BOLTARIS,96,2025-08-13,False
SEALION I,9234501,09/05/2025,Panama,BEN,STABILIS I,96,2025-08-13,False
ARIA,9327360,21/07/2025,,GMB,MT CROCO,96,2025-10-25,False
TAI SHAN,9405057,09/05/2025,Panama,CMR,JUN TONG,97,2025-08-14,False
QUARTZ,9261401,15/10/2025,Palau,CMR,QUARTZ,97,2026-01-20,False
FACCA,9271951,17/12/2024,Panama,PLW,MOCHA,99,2025-03-26,False
SARA II,9301615,12/09/2025,,GIN,SIRTIC,100,2025-12-21,False
DAKSHA,9259185,25/11/2024,,COM,DAKSHA,101,2025-03-06,False
JUN MA,9353113,24/02/2025,Tanzania,GMB,JUN MA,101,2025-06-05,False
SULEYMAN I,9297371,25/11/2024,Panama,COM,DIVA 1,102,2025-03-07,False
LUCKY FAIRY,9348479,09/05/2025,Panama,GMB,LUCKY FAIRY,104,2025-08-21,False
KRASNOYARSK,9312896,25/11/2024,Russia,RUS,KRASNOYARSK,105,2025-03-10,False
SEABASS,9266750,21/07/2025,Barbados,CMR,SEAHORSE,105,2025-11-03,False
GANGA,9378620,24/02/2025,Djibouti,COM,DALVA,107,2025-06-11,False
TOREX,9257814,21/07/2025,Vanuatu,SLE,AKTROS,107,2025-11-05,False
YODAN,9304356,17/06/2025,Barbados,CMR,YODAN,108,2025-10-03,False
SOUL,9263203,09/05/2025,Guinea-Bissau,VUT,STORM PEARL,109,2025-08-26,False
STRATOS AURORA,9288708,17/10/2024,Honduras,COM,AURO,110,2025-02-04,False
OASIS,9265756,09/05/2025,,GMB,SUNNY,110,2025-08-27,False
WILMA II,9247431,24/02/2025,Panama,MWI,REGAL I,116,2025-06-20,False
JI LI I,9384435,09/05/2025,Panama,RUS,BELOMOR,119,2025-09-05,True
FAST KATHY,9408205,17/12/2024,Honduras,COM,FAST KATHY,123,2025-04-19,False
PEGASUS,9276028,12/09/2025,Comoros,RUS,PEGASUS,125,2026-01-15,False
CHEETAH II,9222560,09/05/2025,Panama,BEN,CELERIX,126,2025-09-12,False
VALENTE,9288863,21/07/2025,The Gambia,CMR,SHERGAR,126,2025-11-24,False
OCEAN EMBRACE,9327372,24/02/2025,Djibouti,MWI,OCEAN AMBER,127,2025-07-01,False
WU TAI,9419151,09/05/2025,Panama,GMB,WU TAI,129,2025-09-15,False
OLIA,9268112,12/09/2025,The Gambia,MDG,ALBA,129,2026-01-19,False
MERCURY,9321706,21/07/2025,Gabon,RUS,LIDER,130,2025-11-28,False
SAINT,9263198,09/05/2025,Guinea-Bissau,VUT,NORDIMAR GALE,131,2025-09-17,False
ADONIA,9242223,12/09/2025,,TON,RENS,133,2026-01-23,False
ANTILA,9381744,12/09/2025,,RUS,ARKHITEKTOR,133,2026-01-23,False
PRS OCEAN,9276561,21/07/2025,The Gambia,CMR,SHENZHEN,134,2025-12-02,False
SAGITTA,9296822,17/12/2024,Panama,GUY,KATHIA,136,2025-05-02,False
VISION,9236016,15/10/2025,Antigua and Barbuda,CMR,TITAN,136,2026-02-28,False
ADITYA,9323314,24/02/2026,Cameroon,RUS,MIMOZA,137,2026-07-11,False
SAMUDRA,9337901,24/02/2025,Djibouti,PLW,RIMMA,138,2025-07-12,False
AS CALCUTTA,9037123,24/02/2026,Panama,NIC,CUTTA,139,2026-07-13,False
DANSHUI,9589750,21/07/2025,Comoros,RUS,STRATEG,140,2025-12-08,False
DEYNA,9299903,21/07/2025,,TON,DEYNA,140,2025-12-08,False
VELIKIY NOVGOROD,9630004,17/10/2024,Barbados,COM,VALERA,141,2025-03-07,True
LAURYN,9259599,12/09/2025,,RUS,AKKORD,142,2026-02-01,False
SORION,9274446,12/09/2025,,RUS,ADMIRAL,142,2026-02-01,False
CALLISTO,9299692,17/10/2024,Barbados,COM,CALLISTO,143,2025-03-09,False
TOPAZ,9292034,12/09/2025,Comoros,RUS,TOPAZ,144,2026-02-03,False
